Origin,Destination,DepTime,DepHour,DepMin,ArrTime,ArrHour,ArrMin,DurationInHours:Minutes,Duration,FlightNum,Frequency,Index
AMD,BLR,1899-12-30 08:55:00,8,55,1899-12-30 11:15:00,11,15,2:20,140,823,Every TUE,126
AMD,BLR,1899-12-30 20:05:00,20,5,1899-12-30 22:30:00,22,30,2:25,145,6153,Daily,503
AMD,BOM,1899-12-30 07:40:00,7,40,1899-12-30 08:55:00,8,55,1:15,75,6834,Except WED/FRI,53
AMD,BOM,1899-12-30 22:00:00,22,0,1899-12-30 23:15:00,23,15,1:15,75,313,Except SAT,526
AMD,CCU,1899-12-30 09:50:00,9,50,1899-12-30 12:30:00,12,30,2:40,160,751,Except SUN,174
AMD,CCU,1899-12-30 16:15:00,16,15,1899-12-30 18:50:00,18,50,2:35,155,6135,Daily,386
AMD,DEL,1899-12-30 07:10:00,7,10,1899-12-30 08:55:00,8,55,1:45,105,962,Daily,50
AMD,DEL,1899-12-30 11:50:00,11,50,1899-12-30 13:30:00,13,30,1:40,100,2045,Except SUN,205
AMD,HYD,1899-12-30 06:15:00,6,15,1899-12-30 08:05:00,8,5,1:50,110,645,Daily,30
AMD,HYD,1899-12-30 15:45:00,15,45,1899-12-30 17:35:00,17,35,1:50,110,383,Daily,347
AMD,LKO,1899-12-30 08:10:00,8,10,1899-12-30 10:05:00,10,5,1:55,115,244,Daily,88
AMD,MAA,1899-12-30 18:05:00,18,5,1899-12-30 20:25:00,20,25,2:20,140,6215,Daily,442
AMD,PNQ,1899-12-30 21:40:00,21,40,1899-12-30 22:55:00,22,55,1:15,75,674,Daily,514
ATQ,BOM,1899-12-30 13:10:00,13,10,1899-12-30 15:40:00,15,40,2:30,150,448,Except MON/WED/FRI/SUN,288
ATQ,DEL,1899-12-30 22:00:00,22,0,1899-12-30 23:15:00,23,15,1:15,75,5057,Daily,525
BBI,BLR,1899-12-30 08:30:00,8,30,1899-12-30 10:30:00,10,30,2:00,120,393,Daily,101
BBI,BLR,1899-12-30 21:00:00,21,0,1899-12-30 23:00:00,23,0,2:00,120,431,Except SUN,517
BBI,BLR,1899-12-30 21:00:00,21,0,1899-12-30 23:00:00,23,0,2:00,120,6869,Daily,516
BBI,CCU,1899-12-30 18:50:00,18,50,1899-12-30 19:55:00,19,55,1:05,65,6572,Daily,425
BBI,DEL,1899-12-30 09:40:00,9,40,1899-12-30 11:55:00,11,55,2:15,135,2256,Except THU,154
BBI,HYD,1899-12-30 09:20:00,9,20,1899-12-30 11:00:00,11,0,1:40,100,342,Daily,119
BBI,MAA,1899-12-30 19:20:00,19,20,1899-12-30 21:15:00,21,15,1:55,115,145,Except MON/WED/FRI/SUN,467
BDQ,BLR,1899-12-30 20:40:00,20,40,1899-12-30 22:45:00,22,45,2:05,125,808,Daily,509
BDQ,BOM,1899-12-30 17:20:00,17,20,1899-12-30 18:35:00,18,35,1:15,75,628,Except FRI,380
BDQ,DEL,1899-12-30 19:25:00,19,25,1899-12-30 21:10:00,21,10,1:45,105,2512,Daily,463
BDQ,DEL,1899-12-30 21:10:00,21,10,1899-12-30 22:45:00,22,45,1:35,95,2488,Every SAT,510
BHO,DEL,1899-12-30 16:00:00,16,0,1899-12-30 17:30:00,17,30,1:30,90,2052,Daily,345
BHO,HYD,1899-12-30 17:40:00,17,40,1899-12-30 20:00:00,20,0,2:20,140,7122,Except MON/WED/FRI/SUN,428
BLR,AMD,1899-12-30 06:05:00,6,5,1899-12-30 08:15:00,8,15,2:10,130,586,Daily,34
BLR,AMD,1899-12-30 17:15:00,17,15,1899-12-30 19:25:00,19,25,2:10,130,452,Daily,413
BLR,BBI,1899-12-30 05:45:00,5,45,1899-12-30 07:50:00,7,50,2:05,125,368,Daily,22
BLR,BBI,1899-12-30 18:20:00,18,20,1899-12-30 20:20:00,20,20,2:00,120,427,Daily,441
BLR,BDQ,1899-12-30 18:00:00,18,0,1899-12-30 20:00:00,20,0,2:00,120,747,Daily,429
BLR,BOM,1899-12-30 05:05:00,5,5,1899-12-30 06:50:00,6,50,1:45,105,456,Daily,4
BLR,BOM,1899-12-30 07:55:00,7,55,1899-12-30 09:40:00,9,40,1:45,105,5334,Daily,72
BLR,BOM,1899-12-30 13:45:00,13,45,1899-12-30 15:40:00,15,40,1:55,115,5395,Except TUE,289
BLR,BOM,1899-12-30 15:40:00,15,40,1899-12-30 17:20:00,17,20,1:40,100,734,Daily,338
BLR,BOM,1899-12-30 18:25:00,18,25,1899-12-30 20:10:00,20,10,1:45,105,6449,Daily,440
BLR,CCJ,1899-12-30 14:55:00,14,55,1899-12-30 16:15:00,16,15,1:20,80,7129,Except TUE/WED/FRI/SUN,306
BLR,CCU,1899-12-30 05:15:00,5,15,1899-12-30 07:55:00,7,55,2:40,160,713,Every TUE,27
BLR,CCU,1899-12-30 06:35:00,6,35,1899-12-30 09:05:00,9,5,2:30,150,6339,Except TUE,59
BLR,CCU,1899-12-30 08:35:00,8,35,1899-12-30 11:10:00,11,10,2:35,155,344,Except TUE/THU/SAT,123
BLR,CCU,1899-12-30 19:15:00,19,15,1899-12-30 21:50:00,21,50,2:35,155,676,Daily,481
BLR,CJB,1899-12-30 14:40:00,14,40,1899-12-30 15:35:00,15,35,0:55,55,6992,Except TUE,283
BLR,CNN,1899-12-30 14:55:00,14,55,1899-12-30 16:15:00,16,15,1:20,80,7974,Except MON/TUE/THU/SAT,304
BLR,COK,1899-12-30 07:50:00,7,50,1899-12-30 09:00:00,9,0,1:10,70,113,Daily,56
BLR,COK,1899-12-30 21:45:00,21,45,1899-12-30 22:55:00,22,55,1:10,70,463,Daily,513
BLR,DEL,1899-12-30 06:05:00,6,5,1899-12-30 08:55:00,8,55,2:50,170,2132,Daily,51
BLR,DEL,1899-12-30 08:35:00,8,35,1899-12-30 11:25:00,11,25,2:50,170,5032,Daily,133
BLR,DEL,1899-12-30 15:35:00,15,35,1899-12-30 18:20:00,18,20,2:45,165,2487,Except TUE,372
BLR,GAU,1899-12-30 07:00:00,7,0,1899-12-30 10:00:00,10,0,3:00,180,457,Except TUE,84
BLR,GOI,1899-12-30 12:25:00,12,25,1899-12-30 13:40:00,13,40,1:15,75,345,Except TUE,212
BLR,HYD,1899-12-30 07:25:00,7,25,1899-12-30 08:40:00,8,40,1:15,75,186,Daily,46
BLR,HYD,1899-12-30 09:40:00,9,40,1899-12-30 10:50:00,10,50,1:10,70,2032,Daily,110
BLR,HYD,1899-12-30 16:40:00,16,40,1899-12-30 17:50:00,17,50,1:10,70,684,Daily,356
BLR,HYD,1899-12-30 18:45:00,18,45,1899-12-30 20:05:00,20,5,1:20,80,855,Daily,435
BLR,IXC,1899-12-30 07:10:00,7,10,1899-12-30 10:10:00,10,10,3:00,180,6512,Except TUE/SUN,90
BLR,IXC,1899-12-30 11:00:00,11,0,1899-12-30 14:00:00,14,0,3:00,180,592,Daily,233
BLR,IXC,1899-12-30 16:20:00,16,20,1899-12-30 19:20:00,19,20,3:00,180,6147,Every TUE,409
BLR,IXD,1899-12-30 04:55:00,4,55,1899-12-30 07:30:00,7,30,2:35,155,5991,Every SAT,14
BLR,IXD,1899-12-30 11:30:00,11,30,1899-12-30 13:55:00,13,55,2:25,145,5998,Daily,226
BLR,IXE,1899-12-30 17:55:00,17,55,1899-12-30 18:55:00,18,55,1:00,60,279,Daily,389
BLR,IXM,1899-12-30 11:00:00,11,0,1899-12-30 12:25:00,12,25,1:25,85,7214,Except TUE,166
BLR,JAI,1899-12-30 09:15:00,9,15,1899-12-30 11:45:00,11,45,2:30,150,415,Daily,145
BLR,LKO,1899-12-30 14:00:00,14,0,1899-12-30 16:30:00,16,30,2:30,150,451,Except TUE,311
BLR,LKO,1899-12-30 19:00:00,19,0,1899-12-30 21:30:00,21,30,2:30,150,847,Daily,472
BLR,MAA,1899-12-30 08:10:00,8,10,1899-12-30 09:15:00,9,15,1:05,65,6269,Daily,61
BLR,MAA,1899-12-30 12:50:00,12,50,1899-12-30 13:50:00,13,50,1:00,60,237,Except TUE,223
BLR,MAA,1899-12-30 14:00:00,14,0,1899-12-30 15:00:00,15,0,1:00,60,258,Every SAT,260
BLR,MAA,1899-12-30 16:15:00,16,15,1899-12-30 17:15:00,17,15,1:00,60,6012,Daily,335
BLR,MAA,1899-12-30 18:00:00,18,0,1899-12-30 19:00:00,19,0,1:00,60,6191,Daily,394
BLR,NAG,1899-12-30 08:15:00,8,15,1899-12-30 09:55:00,9,55,1:40,100,312,Except TUE,80
BLR,PAT,1899-12-30 11:40:00,11,40,1899-12-30 14:10:00,14,10,2:30,150,485,Daily,238
BLR,PNQ,1899-12-30 05:00:00,5,0,1899-12-30 06:20:00,6,20,1:20,80,408,Daily,1
BLR,PNQ,1899-12-30 11:40:00,11,40,1899-12-30 13:05:00,13,5,1:25,85,6104,Except SAT,191
BLR,PNQ,1899-12-30 16:05:00,16,5,1899-12-30 17:30:00,17,30,1:25,85,469,Every SAT,343
BLR,PNQ,1899-12-30 20:15:00,20,15,1899-12-30 21:45:00,21,45,1:30,90,426,Daily,479
BLR,TIR,1899-12-30 10:45:00,10,45,1899-12-30 11:50:00,11,50,1:05,65,7328,Daily,150
BLR,TRZ,1899-12-30 19:40:00,19,40,1899-12-30 21:00:00,21,0,1:20,80,7738,Daily,461
BLR,VGA,1899-12-30 06:10:00,6,10,1899-12-30 07:55:00,7,55,1:45,105,7204,Daily,24
BLR,VNS,1899-12-30 09:10:00,9,10,1899-12-30 11:40:00,11,40,2:30,150,897,Except TUE,141
BLR,VTZ,1899-12-30 05:25:00,5,25,1899-12-30 06:55:00,6,55,1:30,90,288,Daily,6
BOM,AMD,1899-12-30 16:15:00,16,15,1899-12-30 17:25:00,17,25,1:10,70,213,Except WED/FRI,340
BOM,AMD,1899-12-30 20:10:00,20,10,1899-12-30 21:30:00,21,30,1:20,80,639,Except SAT,471
BOM,ATQ,1899-12-30 10:05:00,10,5,1899-12-30 12:30:00,12,30,2:25,145,453,Except MON/WED/FRI/SUN,169
BOM,BBI,1899-12-30 19:15:00,19,15,1899-12-30 21:35:00,21,35,2:20,140,598,Daily,475
BOM,BDQ,1899-12-30 15:30:00,15,30,1899-12-30 16:40:00,16,40,1:10,70,917,Except FRI,315
BOM,BLR,1899-12-30 07:40:00,7,40,1899-12-30 09:30:00,9,30,1:50,110,715,Daily,67
BOM,BLR,1899-12-30 10:30:00,10,30,1899-12-30 12:20:00,12,20,1:50,110,5354,Daily,165
BOM,BLR,1899-12-30 16:30:00,16,30,1899-12-30 18:15:00,18,15,1:45,105,5396,Except TUE,366
BOM,BLR,1899-12-30 18:15:00,18,15,1899-12-30 20:05:00,20,5,1:50,110,199,Daily,432
BOM,BLR,1899-12-30 21:00:00,21,0,1899-12-30 22:50:00,22,50,1:50,110,949,Daily,511
BOM,CCU,1899-12-30 04:30:00,4,30,1899-12-30 07:10:00,7,10,2:40,160,6181,Except TUE/THU,10
BOM,CCU,1899-12-30 11:45:00,11,45,1899-12-30 14:30:00,14,30,2:45,165,323,Daily,245
BOM,CCU,1899-12-30 18:55:00,18,55,1899-12-30 21:45:00,21,45,2:50,170,395,Daily,478
BOM,CJB,1899-12-30 11:40:00,11,40,1899-12-30 13:40:00,13,40,2:00,120,166,Except TUE/THU,216
BOM,COK,1899-12-30 20:20:00,20,20,1899-12-30 22:20:00,22,20,2:00,120,6755,Except TUE,501
BOM,DED,1899-12-30 10:05:00,10,5,1899-12-30 12:25:00,12,25,2:20,140,533,Except WED/FRI,167
BOM,DEL,1899-12-30 06:25:00,6,25,1899-12-30 08:35:00,8,35,2:10,130,5047,Daily,43
BOM,DEL,1899-12-30 08:40:00,8,40,1899-12-30 10:55:00,10,55,2:15,135,5336,Daily,116
BOM,DEL,1899-12-30 14:30:00,14,30,1899-12-30 16:45:00,16,45,2:15,135,6284,Daily,319
BOM,DEL,1899-12-30 18:35:00,18,35,1899-12-30 20:50:00,20,50,2:15,135,439,Daily,458
BOM,DEL,1899-12-30 21:10:00,21,10,1899-12-30 23:25:00,23,25,2:15,135,248,Daily,527
BOM,GAU,1899-12-30 05:00:00,5,0,1899-12-30 08:10:00,8,10,3:10,190,958,Daily,33
BOM,GOI,1899-12-30 12:40:00,12,40,1899-12-30 14:05:00,14,5,1:25,85,179,Daily,236
BOM,HYD,1899-12-30 05:15:00,5,15,1899-12-30 06:45:00,6,45,1:30,90,461,Daily,3
BOM,HYD,1899-12-30 11:55:00,11,55,1899-12-30 13:30:00,13,30,1:35,95,821,Except SAT,204
BOM,HYD,1899-12-30 15:40:00,15,40,1899-12-30 17:10:00,17,10,1:30,90,5375,Except TUE,334
BOM,HYD,1899-12-30 19:00:00,19,0,1899-12-30 20:40:00,20,40,1:40,100,834,Daily,449
BOM,IDR,1899-12-30 17:50:00,17,50,1899-12-30 19:15:00,19,15,1:25,85,225,Except TUE/THU,407
BOM,IXB,1899-12-30 08:20:00,8,20,1899-12-30 11:10:00,11,10,2:50,170,205,Daily,122
BOM,IXC,1899-12-30 09:00:00,9,0,1899-12-30 11:30:00,11,30,2:30,150,495,Except SUN,136
BOM,IXD,1899-12-30 12:45:00,12,45,1899-12-30 14:55:00,14,55,2:10,130,5914,Daily,255
BOM,IXE,1899-12-30 09:30:00,9,30,1899-12-30 11:00:00,11,0,1:30,90,5327,Except THU,118
BOM,IXR,1899-12-30 05:35:00,5,35,1899-12-30 07:55:00,7,55,2:20,140,6179,Except THU,25
BOM,JAI,1899-12-30 14:05:00,14,5,1899-12-30 15:55:00,15,55,1:50,110,998,Except THU,296
BOM,LKO,1899-12-30 13:35:00,13,35,1899-12-30 15:45:00,15,45,2:10,130,5317,Daily,292
BOM,LKO,1899-12-30 19:40:00,19,40,1899-12-30 22:00:00,22,0,2:20,140,6446,Except TUE/THU,489
BOM,MAA,1899-12-30 06:10:00,6,10,1899-12-30 08:10:00,8,10,2:00,120,229,Daily,32
BOM,MAA,1899-12-30 15:55:00,15,55,1899-12-30 18:00:00,18,0,2:05,125,768,Daily,363
BOM,MAA,1899-12-30 19:30:00,19,30,1899-12-30 21:35:00,21,35,2:05,125,675,Daily,476
BOM,NAG,1899-12-30 09:10:00,9,10,1899-12-30 10:40:00,10,40,1:30,90,5325,Daily,106
BOM,NAG,1899-12-30 18:30:00,18,30,1899-12-30 20:00:00,20,0,1:30,90,5377,Except TUE/WED/THU/SAT,431
BOM,PAT,1899-12-30 05:15:00,5,15,1899-12-30 07:35:00,7,35,2:20,140,5373,Daily,18
BOM,UDR,1899-12-30 06:05:00,6,5,1899-12-30 07:30:00,7,30,1:25,85,749,Except SAT,15
BOM,VNS,1899-12-30 11:45:00,11,45,1899-12-30 14:00:00,14,0,2:15,135,578,Except TUE/THU,234
BOM,VNS,1899-12-30 17:20:00,17,20,1899-12-30 19:35:00,19,35,2:15,135,712,Daily,417
